"studyName","Sample Number","Species","Region","Island","Stage","Individual ID","Clutch Completion","Date Egg","Culmen Length (mm)","Culmen Depth (mm)","Flipper Length (mm)","Body Mass (g)","Sex","Delta 15 N (o/oo)","Delta 13 C (o/oo)","Comments"
"PAL0708","1","Adelie Penguin (Pygoscelis adeliae)","Anvers","Torgersen","Adult, 1 Egg Stage","N1A1","Yes","2007-11-11","39.1","18.7","181","3750","MALE","NA","NA","Not enough blood for isotopes."
"PAL0708","2","Adelie Penguin (Pygoscelis adeliae)","Anvers","Torgersen","Adult, 1 Egg Stage","N1A2","Yes","2007-11-11","39.5","17.4","186","3800","FEMALE","894956","-2469454","NA"
"PAL0708","3","Adelie Penguin (Pygoscelis adeliae)","Anvers","Torgersen","Adult, 1 Egg Stage","N2A1","Yes","2007-11-16","40.3","18","195","3250","FEMALE","836821","-2533302","NA"
"PAL0708","4","Adelie Penguin (Pygoscelis adeliae)","Anvers","Torgersen","Adult, 1 Egg Stage","N2A2","Yes","2007-11-16","NA","NA","NA","NA","NA","NA","NA","Adult not sampled."
"PAL0708","5","Adelie Penguin (Pygoscelis adeliae)","Anvers","Torgersen","Adult, 1 Egg Stage","N3A1","Yes","2007-11-16","36.7","19.3","193","3450","FEMALE","876651","-2532426","NA"
"PAL0708","6","Adelie Penguin (Pygoscelis adeliae)","Anvers","Torgersen","Adult, 1 Egg Stage","N3A2","Yes","2007-11-16","39.3","20.6","190","3650","MALE","866496","-2529805","NA"
"PAL0708","7","Adelie Penguin (Pygoscelis adeliae)","Anvers","Torgersen","Adult, 1 Egg Stage","N4A1","No","2007-11-15","38.9","17.8","181","3625","FEMALE","918718","-2521799","Nest never observed with full clutch."
"PAL0708","8","Adelie Penguin (Pygoscelis adeliae)","Anvers","Torgersen","Adult, 1 Egg Stage","N4A2","No","2007-11-15","39.2","19.6","195","4675","MALE","94606","-2489958","Nest never observed with full clutch."
"PAL0708","9","Adelie Penguin (Pygoscelis adeliae)","Anvers","Torgersen","Adult, 1 Egg Stage","N5A1","Yes","2007-11-09","34.1","18.1","193","3475","NA","NA","NA","No blood sample obtained."
"PAL0708","10","Adelie Penguin (Pygoscelis adeliae)","Anvers","Torgersen","Adult, 1 Egg Stage","N5A2","Yes","2007-11-09","42","20.2","190","4250","NA","913362","-2509368","No blood sample obtained for sexing."
